,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Flow IAT Max,Flow IAT Min,Flow IAT Mean,Flow IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Total,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length
Source Port,1.0,0.003440705766833922,-0.03235631510533698,0.12502050780725074,-0.008376903410997866,0.0045008033839829325,-0.15269248742813638,0.0010950836184906193,-0.5162425583486422,-0.5105692258504348,-0.5163713078129077,0.01981867769257292,0.008712013432749584,0.013982124238554995,0.011685907102809721,0.009228490316251406,-0.4611285987095405,-0.2248838895926909,-0.22201273189715517,0.002926846717788467,0.25161364290967975,-0.001330573758288934,0.29123137230958146,0.3096310583415656,0.2516561108062877,-0.0014435933932061553,0.2803883517127745,0.305492714164316,0.12498563308891855,0.005034392562119512,0.004984584915648751,0.003429930161474605,0.003882262104473052,0.006513325063127464,0.007579003324661528,,0.01449763447985009,-0.0016206005628068615
Destination Port,0.003440705766833922,1.0,0.0053218274131498836,-0.003867829149829701,-0.004549120976670469,-0.01051103671233818,0.0001864991046470656,-0.002571648248571568,9.153345270042235e-05,0.0005320963916152179,0.0005009467944235425,-0.004485246099778147,-0.019258514543911164,-0.02695116219844925,-0.025377437206502207,-0.021479402097384363,0.00015281339987073447,0.0013679776840385461,0.001295682399167089,0.00017286028219172688,-0.004607780689584376,-0.0005159459218986795,-0.001831138362108393,-0.0028268062093407993,-0.004396120894001422,-0.0003468584337367899,-0.002218329549715816,-0.003186127795212313,-0.003731897240561051,-0.005766799459431793,-0.003644114222255345,-0.0021647110766747457,-0.00313628029412948,-0.010581184507390462,-0.017064618100947716,,-6.470378062385509e-05,0.0032205139237968103
Protocol,-0.03235631510533698,0.0053218274131498836,1.0,-0.23491881858177646,-0.018361007778106585,-0.06889037930795142,0.07399569320471293,-0.007018736618256734,0.3096209870450052,0.30637085194498537,0.30926399833536383,0.017383867616745267,-0.04841019833080879,4.241766540173488e-05,-0.04858197353903356,-0.05978785755615166,0.1735585432940682,-0.033958057951143275,-0.007916907191918692,-0.14645940563816995,-0.17272779699829974,-0.004308033572189838,-0.14191180069179699,-0.1241256090098622,-0.1721122733820125,-0.004093312459997837,-0.1551171129857007,-0.12857365066207455,-0.23452540021215681,-0.09372823697014684,-0.12308489561368777,-0.08888834628218958,-0.09038089299250955,-0.09426872125043295,-0.060833981663130234,,-0.01516330661050348,-0.0003893746792052326
Flow Duration,0.12502050780725074,-0.003867829149829701,-0.23491881858177646,1.0,0.0053823563575713775,0.09772898770771571,-0.008730763296976763,0.010815346279780928,-0.13378646756328566,-0.13326164815248992,-0.13500798233102718,-0.0070385998007424025,0.06975769284489293,-0.002480688536272376,0.04919670042609634,0.06997255742597801,-0.18069409005621767,-0.2490387605643521,-0.23742948223398577,-0.006265063871812234,0.857544742878246,0.006657678957268692,0.8118916423376367,0.7519029920231617,0.8575354228420762,0.006672975941524852,0.8366630614214923,0.758867374240211,0.9998808149698737,0.3409171249457661,0.08886683346222833,0.3212712175281767,0.327654444993207,0.3447023582483131,0.012977023259402993,,0.002082708824612264,0.0003690450705451752
Total Fwd Packets,-0.008376903410997866,-0.004549120976670469,-0.018361007778106585,0.0053823563575713775,1.0,0.024837740361282303,0.052610223927204484,0.0018867953149716015,-0.008684608790638513,-0.00930581935812557,-0.008778577170180485,0.005398311292085203,0.0015302755345539668,-0.00019464326310147234,0.0012618759060583722,0.001372412641517364,-0.010584360409604903,-0.014302963631087275,-0.013627924045186979,-0.0003808770926236086,0.0011412032646715498,-1.1546273497343284e-05,0.0006933808146451914,0.00034827241010733443,0.0011421472217637365,-1.056659853548614e-05,0.000788930606277887,0.00039644245909150813,0.005382739857187742,0.003932081854461813,0.0014657433498400563,0.002741513756546246,0.0026890106067888916,0.00817180980075879,-8.124100951502504e-06,,-0.005359338030632759,2.27257958763509e-05
Total Backward Packets,0.0045008033839829325,-0.01051103671233818,-0.06889037930795142,0.09772898770771571,0.024837740361282303,1.0,0.04991092149071686,0.8582099526009102,-0.011077827558351514,-0.021443943088288033,-0.020356740770781954,0.09053927228755554,0.598459945622073,0.024653029723215442,0.43202639188602115,0.43261523482464515,-0.01301283514936794,-0.017627621016343263,-0.016961425233746136,0.04067307245113891,0.08418883792023361,4.91141029756175e-05,0.026526614859380893,0.03679654214141976,0.08358732718467977,6.584797832910761e-05,0.03693137410793439,0.04427422185250609,0.09719676117400984,0.14277772324160293,0.04144036122374902,0.07033181434118248,0.08578072253194717,0.23790232985939375,0.02502614663329385,,0.001059755646314091,-0.0024464035844617297
Total Length of Fwd Packets,-0.15269248742813638,0.0001864991046470656,0.07399569320471293,-0.008730763296976763,0.052610223927204484,0.04991092149071686,1.0,0.0009663392345028297,0.06689317064156247,0.05267605345187055,0.061910511655282614,0.07223155249269335,0.002736161752412319,-0.005334954668125596,8.773652978898636e-05,0.002434610179954524,-0.03175571264811394,-0.16070641384298312,-0.15084420749080318,-0.010958107215825547,-0.016968890702937882,-0.00031913652931024914,-0.0146085355450951,-0.01767463930910023,-0.01693528721654262,-0.00030252418203693493,-0.01533293891675048,-0.017740802041179653,-0.008708159831987408,-0.0047896739044081755,-0.00960816436074738,-0.0062336256660331,-0.0059137841522498465,-0.0027511487329963447,-0.0038141507482846075,,-0.08963638802799576,0.0006446025022101054
Total Length of Bwd Packets,0.0010950836184906193,-0.002571648248571568,-0.007018736618256734,0.010815346279780928,0.0018867953149716015,0.8582099526009102,0.0009663392345028297,1.0,0.00038629072752850545,-0.0021800910783587547,-0.001999035663599992,0.019397601822558994,0.5920872094559027,0.00316793988769754,0.3592073014531831,0.35682244035836974,-0.0013204119905262058,-0.0018212361647291784,-0.0017379651857391317,0.00012492445831307564,0.016688986412563757,-2.1253973402133474e-06,-3.9831238522142466e-05,0.002184825147513177,0.016646679023913893,-2.076648019277928e-06,0.0005705250863848164,0.0036918373502895364,0.010760417341344843,0.02108268591379749,0.0012819324676286007,0.001909614051928165,0.005445958793568529,0.032755630662680287,0.002641803540530003,,0.00010802352192071432,-7.520369001006228e-05
Fwd Packet Length Max,-0.5162425583486422,9.153345270042235e-05,0.3096209870450052,-0.13378646756328566,-0.008684608790638513,-0.011077827558351514,0.06689317064156247,0.00038629072752850545,1.0,0.9977352735933969,0.999424011438845,-0.11935533657844423,0.0010324900512754679,-0.020194757455176415,-0.005304134440618232,0.0018007748615512023,0.7557636838505004,0.14729913499495823,0.15395148455970264,-0.045630625639336814,-0.18115767419678674,-0.0011873758155933588,-0.19530362908850488,-0.1986625574288969,-0.1810756959121741,-0.0011133634005262845,-0.19308403168019064,-0.1973399554913392,-0.1337047655061525,-0.02366828043395916,-0.03989731165515642,-0.02629166408771403,-0.025675397863192798,-0.01868776032612815,-0.01587000284535798,,-0.0037087573401203755,0.0026106548193065935
Fwd Packet Length Min,-0.5105692258504348,0.0005320963916152179,0.30637085194498537,-0.13326164815248992,-0.00930581935812557,-0.021443943088288033,0.05267605345187055,-0.0021800910783587547,0.9977352735933969,1.0,0.9989008516261974,-0.18027059160599876,-0.0162253483392932,-0.01995831138522151,-0.02075894335779716,-0.01833224653430046,0.7595496772150949,0.16022664576672435,0.16601410257008967,-0.044875632138962646,-0.1787421443234606,-0.0012386090762727786,-0.18970647989652986,-0.19351638564099186,-0.1786034071366858,-0.0011731619001279197,-0.1879446711274975,-0.19261887146977996,-0.13314596928061392,-0.028719196977907865,-0.0396584938564036,-0.027251792867542243,-0.027709343168918984,-0.02866644722060812,-0.01840365104800673,,-0.0025016116836308632,0.0025656762991212545
Fwd Packet Length Mean,-0.5163713078129077,0.0005009467944235425,0.30926399833536383,-0.13500798233102718,-0.008778577170180485,-0.020356740770781954,0.061910511655282614,-0.001999035663599992,0.999424011438845,0.9989008516261974,1.0,-0.1449521885679067,-0.013529595366326386,-0.02013597662968381,-0.018181525718170714,-0.014929149173691961,0.757756284622879,0.15267317490405038,0.15897568930750225,-0.04535619323216395,-0.18173343039114317,-0.0012166393413073158,-0.19341184699402608,-0.197281120771107,-0.1816123195747085,-0.0011467720953541656,-0.1915200998739484,-0.19630115361756617,-0.13490093055255373,-0.028283427536257698,-0.039993577566221496,-0.027338864676338868,-0.02765066627812657,-0.027613723355923138,-0.017490683983979897,,-0.0034762704151823174,0.002594029830511636
Fwd Packet Length Std,0.01981867769257292,-0.004485246099778147,0.017383867616745267,-0.0070385998007424025,0.005398311292085203,0.09053927228755554,0.07223155249269335,0.019397601822558994,-0.11935533657844423,-0.18027059160599876,-0.1449521885679067,1.0,0.20883121223176568,-0.0006293004707832537,0.19772955050023397,0.25676858274592756,-0.18254595332715204,-0.24660379064808496,-0.23483198720578033,-0.006331289217489206,-0.03292562550951171,0.0019250072168912448,-0.0684573186491787,-0.06443226707815512,-0.034055067387995124,0.0021429693365454324,-0.06287965532402415,-0.059822259794001756,-0.007651670343187136,0.0544411435469295,0.0005299289201899359,0.012552629095871858,0.023969136430765935,0.10719523626297392,0.05266180719337545,,-0.011246831080469625,0.00039137257245271215
