param1,param2,value
Flow Packets/s,Fwd Packets/s,0.9994
Fwd Packet Length Min,Fwd Packet Length Mean,0.9921
Active Mean,Active Min,0.9727
Flow IAT Mean,Fwd IAT Mean,0.9339
Active Mean,Active Max,0.9062
Bwd Packet Length Max,Bwd Packet Length Std,0.9050
Fwd Packet Length Min,Flow Bytes/s,0.8846
Fwd Packet Length Max,Fwd Packet Length Mean,0.8781
Fwd Packet Length Mean,Flow Bytes/s,0.8778
Bwd Packet Length Mean,Bwd Packet Length Std,0.8775
Bwd IAT Total,Bwd IAT Max,0.8745
Fwd IAT Total,Fwd IAT Max,0.8471
Bwd Packet Length Max,Max Packet Length,0.8295
Fwd IAT Max,Bwd IAT Max,0.8286
Fwd Packet Length Max,Fwd Packet Length Min,0.8236
Fwd IAT Total,Bwd IAT Total,0.8225
Active Max,Active Min,0.8131
Bwd Packet Length Max,Bwd Packet Length Mean,0.7819
Total Length of Bwd Packets,Packet Length Variance,0.7800
Bwd Packet Length Max,Packet Length Variance,0.7777
Bwd Packet Length Std,Max Packet Length,0.7439
Fwd IAT Mean,Fwd IAT Max,0.7373
Fwd IAT Max,Bwd IAT Total,0.7360
Fwd Packet Length Max,Flow Bytes/s,0.7312
Fwd IAT Total,Fwd IAT Mean,0.7275
Fwd IAT Total,Bwd IAT Max,0.7260
Bwd IAT Mean,Bwd IAT Max,0.7040
